keys,en,zh_CN
CHAR_TAX_COLLECTOR, "After each player builds, he places 1 of his gold on the Tax Collector's character token. Take all gold from your character token.", "每位玩家建造建筑后，将1枚金币放在税收官的角色标记上，你翻开角色牌时，获得税收官角色标记上的所有金币。"
NAME_MAGISTRATE, "Magistrate", "治安官"
NAME_WITCH, "Witch", "女巫"
NAME_ASSASSIN,"Assassin","刺客"
NAME_THIEF,"Thief","盗贼"
NAME_SPY,"Spy","间谍"
NAME_BLACKMAILER,"Blackmailer","敲诈者"
NAME_MAGICIAN,"Magician","魔术师"
NAME_WIZARD,"Wizard","巫师"
NAME_SEER,"Seer","先知"
NAME_PATRICIAN,"Patrician","贵族"
NAME_KING,"King","国王"
NAME_EMPEROR,"Emperor","皇帝"
NAME_BISHOP,"Bishop","主教"
NAME_ABBOT,"Abbot","修道院院长"
NAME_CARDINAL, "Cardinal", "红衣主教"
NAME_ALCHEMIST,"Alchemist","炼金术师"
NAME_MERCHANT,"Merchant","商人"
NAME_TRADER,"Trader","交易员"
NAME_NAVIGATOR,"Navigator","领航员"
NAME_SCHOLAR,"Scholar","学者"
NAME_ARCHITECT,"Architect","建筑师"
NAME_MARSHAL,"Marshal","元帅"
NAME_DIPLOMAT,"Diplomat","外交家"
NAME_WARLORD,"Warlord","军阀"
NAME_ARTIST,"Artist","艺术家"
NAME_QUEEN, "Queen","王后"
NAME_TAX_COLLECTOR, "Tax Collector","税收官"
DIALOG_HAND_DEVICE,"Please hand your device to Player X.", "请将你的设备交给玩家X。"
NOTE_DISCARD,"Please remove 1 character card face-up.", "请将1张角色牌正面朝上移除。"
NOTE_HIDE,"Please remove 1 character card face-down.", "请将1张角色牌反面朝上移除。"
NOTE_SELECT,"Please select your character of this turn.", "请选择本回合你想雇佣的角色。"
PHASE_CHARACTER_SELECTION, "Selection Phase", "雇佣阶段"
PHASE_TURN_START, "Turn Phase", "回合阶段"
NOTE_CHOOSE_RESOURCE, "Please select: 1) Draw 2 cards and discard 1 card. 2) Gain 2 gold.", "请选择：1)摸2张牌，弃1张牌；2)获得2个金币。"
NOTE_NEED_CARD, "Card", "摸牌"
NOTE_NEED_GOLD, "Gold", "淘金"
NOTE_END_TURN, "End", "结束"
NOTE_PLAY, "Please play cards or activate your employee's skill.", "请出牌或使用雇佣角色的技能。"

